"Stop name","City"
"Wiślinka Pocztowa","Gdańsk"
"Wiślinka Sportowa","Gdańsk"
"Wiślinka Szkolna","Gdańsk"
"Władysława IV","Gdańsk"
"Wojska Polskiego","Gdańsk"
"Wołkowyska","Gdańsk"
"Wronki","Gdańsk"
"Wróbla","Gdańsk"
"Wrzeszcz PKP","Gdańsk"
"Wysoka Galaktyczna","Gdańsk"
"Wyspiańskiego","Gdańsk"
"Wyzwolenia","Gdańsk"
"Zabytkowa","Gdańsk"
"Zacna","Gdańsk"
"Zagony","Gdańsk"
"Zagroble","Gdańsk"
"Zajezdnia","Gdańsk"
"Zajezdnia NOWY PORT","Gdańsk"
"Zajezdnia Nowy Port (dla wysiadających)","Gdańsk"
"Zakład Utylizacyjny","Gdańsk"
"Zakoniczyn","Gdańsk"
"Zakopiańska","Gdańsk"
"Zamenhofa","Gdańsk"
"Zaroślak","Gdańsk"
"Zaspa","Gdańsk"
"Zaspa - Szpital","Gdańsk"
"Zaspa SKM","Gdańsk"
"Zawodzie","Gdańsk"
"Zbieżna","Gdańsk"
"Zespół Szkół Morskich","Gdańsk"
"Zeusa","Gdańsk"
"Zielony Most","Gdańsk"
"Zielony Stok","Gdańsk"
"Zimna","Gdańsk"
"Złota Karczma","Gdańsk"
"Zosi","Gdańsk"
"Zremb","Gdańsk"
"Zwierzyniecka","Gdańsk"
"Źródlana","Gdańsk"
"Żabi Kruk","Gdańsk"
"Żabianka SKM","Gdańsk"
"Żaglowa - AmberExpo","Gdańsk"
"Żarnowiecka","Gdańsk"
"Żukowo Dworcowa","Gdańsk"
"Żukowo Fenikowskiego","Gdańsk"
"Żukowo Słoneczna","Gdańsk"
"Żukowo Urząd Gminy","Gdańsk"
"Żuraw","Gdańsk"
"Żwirki i Wigury","Gdańsk"
"Życzliwa","Gdańsk"
" ","Gdańsk"
